"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","939","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 08:08:05 UTC 2025","passed","Tue Aug 19 08:08:06 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Проверка покупки авто. Негативный","21610","Тест проверяет покупку авто. Негативный","Team three PFLB Test","Tue Aug 19 08:15:13 UTC 2025","failed","Tue Aug 19 08:15:35 UTC 2025","tests.CarTest","Chrome","tests.CarTest","buyCarNegative"
"Проверка продажи авто. Негативный","21657","Тест проверяет продажу авто. Негативный","Team three PFLB Test","Tue Aug 19 08:16:48 UTC 2025","failed","Tue Aug 19 08:17:10 UTC 2025","tests.CarTest","Chrome","tests.CarTest","sellCarNegative"
"Комплексная проверка: поиск пользователя по ID и верификация всех его данных в таблице (личные данные и информация об автомобиле)","11487","Проверка корректного отображения данных пользователя в таблице","Team three PFLB Test","Tue Aug 19 08:08:53 UTC 2025","failed","Tue Aug 19 08:09:04 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","checkUserInTable"
"Проверка что на странице ReadUserWithCars присутствуют все необходимые элементы навигации и управления","1097","Проверка отображения всех элементов навигации на странице","Team three PFLB Test","Tue Aug 19 08:09:06 UTC 2025","passed","Tue Aug 19 08:09:08 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","checkUsersReadAllWithCarsNavBar"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","610","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 08:08:15 UTC 2025","passed","Tue Aug 19 08:08:16 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","557","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 08:08:10 UTC 2025","passed","Tue Aug 19 08:08:11 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","629","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 08:08:20 UTC 2025","passed","Tue Aug 19 08:08:21 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Проверка создания нового авто","21757","Тест проверяет создание нового авто","Team three PFLB Test","Tue Aug 19 08:12:43 UTC 2025","failed","Tue Aug 19 08:13:05 UTC 2025","tests.CarTest","Chrome","tests.CarTest","createCar"
"Проверка продажи авто","21592","Тест проверяет продажу авто","Team three PFLB Test","Tue Aug 19 08:16:01 UTC 2025","failed","Tue Aug 19 08:16:22 UTC 2025","tests.CarTest","Chrome","tests.CarTest","sellCar"
"Проверка boundary-значения для минимальной суммы пополнения","21402","Система должна корректно обрабатывать минимально допустимую сумму пополнения (0.01)","Team three PFLB Test","Tue Aug 19 08:09:38 UTC 2025","failed","Tue Aug 19 08:10:00 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkMinAndMaxMoney"
"Позитивный тест: проверка что поле ввода корректно принимает и обрабатывает вводимые данные","12142","Проверка функциональности поля ввода на странице","Team three PFLB Test","Tue Aug 19 08:08:23 UTC 2025","failed","Tue Aug 19 08:08:35 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","checkInput"
"Проверка обработки нулевого значения при пополнении баланса","21373","Система должна корректно обрабатывать попытку пополнения на нулевую сумму","Team three PFLB Test","Tue Aug 19 08:11:49 UTC 2025","failed","Tue Aug 19 08:12:10 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkZeroMoney"
"Позитивный тест авторизации: ввод валидного email и пароля, проверка сообщения об успешной авторизации","1085","Проверка успешной авторизации с корректными учетными данными","Team three PFLB Test","Tue Aug 19 08:08:30 UTC 2025","passed","Tue Aug 19 08:08:32 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","successfulLoginWithValidCredentials"
"Тест #[{index}]: user={0}, password={1}, ожидаемый alert={2}","604","checkLoginNegativeCases","Team three PFLB Test","Tue Aug 19 08:08:25 UTC 2025","passed","Tue Aug 19 08:08:26 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginNegativeCases"
"Позитивный тест: проверка что после авторизации происходит успешный переход на страницу ReadUserWithCars по URL","1058","Проверка корректного перехода на страницу информации о пользователях с автомобилями","Team three PFLB Test","Tue Aug 19 08:09:10 UTC 2025","passed","Tue Aug 19 08:09:11 UTC 2025","tests.ReadUserWithCarsTest","Chrome","tests.ReadUserWithCarsTest","openedReadUserWithCarsPage"
"Негативный сценарий: пополнение баланса отрицательным значением","1505","Система должна отклонять попытки пополнения баланса отрицательной суммой","Team three PFLB Test","Tue Aug 19 08:10:31 UTC 2025","passed","Tue Aug 19 08:10:33 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkNegativeMoney"
"Позитивный сценарий пополнения баланса пользователя","21344","Система должна успешно обрабатывать запрос на пополнение баланса при валидных данных","Team three PFLB Test","Tue Aug 19 08:11:00 UTC 2025","failed","Tue Aug 19 08:11:21 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkValidMoneyAddition"
"Проверка покупки авто","21575","Тест проверяет покупку авто","Team three PFLB Test","Tue Aug 19 08:14:24 UTC 2025","failed","Tue Aug 19 08:14:46 UTC 2025","tests.CarTest","Chrome","tests.CarTest","buyCar"
"Проверка создания нового авто. Негативный","21797","Тест проверяет создание нового авто","Team three PFLB Test","Tue Aug 19 08:13:31 UTC 2025","failed","Tue Aug 19 08:13:53 UTC 2025","tests.CarTest","Chrome","tests.CarTest","createCarNegative"
"Негативный сценарий: пополнение баланса текстовым значением","1537","Система должна отклонять нечисловые значения в поле суммы","Team three PFLB Test","Tue Aug 19 08:10:02 UTC 2025","passed","Tue Aug 19 08:10:03 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","checkMoneyWithText"
"Сортировка авто по id","1128","Сортировка авто по id","Team three PFLB Test","Tue Aug 19 08:12:16 UTC 2025","passed","Tue Aug 19 08:12:17 UTC 2025","tests.CarTest","Chrome","tests.CarTest","sortCars"
"Проверка корректности навигации к форме пополнения баланса пользователя","1039","После успешной авторизации система должна корректно открывать форму пополнения баланса","Team three PFLB Test","Tue Aug 19 08:12:13 UTC 2025","passed","Tue Aug 19 08:12:14 UTC 2025","tests.AddMoneyTest","Chrome","tests.AddMoneyTest","openedAddMoneyPage"
